ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
43651,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
43675,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
53307,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
54162,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
54559,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
54577,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
57235,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
58001,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
60838,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
61341,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
64983,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
65032,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
65144,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
67083,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
68323,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
68846,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
69201,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
69265,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
70464,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
71410,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
72173,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
72344,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
74583,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
76100,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
76490,1517,1,500.0,500.0,500.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
75622,1848,1,500.0,500.0,500.0,2020-07-21,2020-07-21,0.0,0.0,0.0,0.0
75660,1861,1,500.0,500.0,500.0,2020-07-08,2020-07-08,0.0,0.0,0.0,0.0
74965,1870,1,500.0,500.0,500.0,2020-06-29,2020-06-29,0.0,0.0,0.0,0.0
15844,1874,5,500.0,100.0,50.0,2020-06-25,2001-06-12,0.0,0.0,0.0,0.0
23414,2273,4,500.0,125.0,150.0,2019-05-23,2016-07-04,0.0,0.0,0.0,0.0
51090,2282,2,500.0,250.0,250.0,2019-05-14,2018-06-14,0.0,0.0,0.0,0.0
66284,2576,2,500.0,250.0,250.0,2018-07-24,2017-10-17,0.0,0.0,0.0,0.0
42056,2591,1,500.0,500.0,500.0,2018-07-09,2018-07-09,0.0,0.0,0.0,0.0
58506,2610,5,500.0,100.0,100.0,2018-06-20,2014-07-15,0.0,0.0,0.0,0.0
42557,2615,1,500.0,500.0,500.0,2018-06-15,2018-06-15,0.0,0.0,0.0,0.0
17511,2874,9,500.0,55.55555555555556,250.0,2017-09-29,2000-06-22,0.0,0.0,0.0,0.0
15894,2966,1,500.0,500.0,500.0,2017-06-29,2017-06-29,0.0,0.0,0.0,0.0
43636,3330,1,500.0,500.0,500.0,2016-06-30,2016-06-30,0.0,0.0,0.0,0.0
18257,3340,1,500.0,500.0,500.0,2016-06-20,2016-06-20,0.0,0.0,0.0,0.0
23240,3346,5,500.0,100.0,100.0,2016-06-14,2010-08-31,0.0,0.0,0.0,0.0
43635,3682,1,500.0,500.0,500.0,2015-07-14,2015-07-14,0.0,0.0,0.0,0.0
18801,3702,12,500.0,41.666666666666664,100.0,2015-06-24,2000-03-27,0.0,0.0,0.0,0.0
19268,3714,1,500.0,500.0,500.0,2015-06-12,2015-06-12,0.0,0.0,0.0,0.0
