ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
19053,7379,19,18600.0,978.9473684210526,500.0,2005-05-30,2000-07-03,0.0,0.0,0.0,0.0
16920,1161,5,18000.0,3600.0,12000.0,2022-06-08,2003-10-30,0.0,0.0,0.0,0.0
72207,1518,2,17700.0,8850.0,17500.0,2021-06-16,2018-02-09,0.0,0.0,0.0,0.0
14833,1517,9,17500.0,1944.4444444444443,1000.0,2021-06-17,2006-06-30,0.0,0.0,0.0,0.0
15108,5894,21,17050.0,811.9047619047619,2000.0,2009-06-23,2000-05-29,0.0,0.0,0.0,0.0
16482,4456,4,17000.0,4250.0,5000.0,2013-05-31,2009-06-25,0.0,0.0,0.0,0.0
18209,775,24,16560.0,690.0,500.0,2023-06-29,2000-08-14,0.0,0.0,0.0,0.0
25587,994,5,16500.0,3300.0,1000.0,2022-11-22,2017-06-05,0.0,0.0,0.0,0.0
61228,1139,4,16000.0,4000.0,5000.0,2022-06-30,2021-06-18,0.0,0.0,0.0,0.0
15668,2267,12,15950.0,1329.1666666666667,100.0,2019-05-29,2000-06-26,0.0,0.0,0.0,0.0
15251,419,25,15775.0,631.0,500.0,2024-06-19,2004-06-28,0.0,0.0,1.0,500.0
70839,1138,4,15745.0,3936.25,3245.0,2022-07-01,2017-03-21,0.0,0.0,0.0,0.0
23234,5958,9,15380.0,1708.888888888889,15000.0,2009-04-20,2000-06-16,0.0,0.0,0.0,0.0
41050,1498,1,15000.0,15000.0,15000.0,2021-07-06,2021-07-06,0.0,0.0,0.0,0.0
43756,5522,3,15000.0,5000.0,5000.0,2010-06-30,2008-06-04,0.0,0.0,0.0,0.0
15117,8315,3,15000.0,5000.0,5000.0,2002-11-06,2000-11-20,0.0,0.0,0.0,0.0
22144,9035,1,15000.0,15000.0,15000.0,2000-11-16,2000-11-16,0.0,0.0,0.0,0.0
26898,1517,11,14850.0,1350.0,5000.0,2021-06-17,2000-01-31,0.0,0.0,0.0,0.0
53764,1517,7,14800.0,2114.285714285714,5000.0,2021-06-17,2014-03-26,0.0,0.0,0.0,0.0
20100,2254,13,14732.94,1133.303076923077,1800.0,2019-06-11,2001-07-30,0.0,0.0,0.0,0.0
16922,1531,19,14350.0,755.2631578947369,5000.0,2021-06-03,2000-06-29,0.0,0.0,0.0,0.0
35797,2986,16,14300.0,893.75,1000.0,2017-06-09,2004-06-21,0.0,0.0,0.0,0.0
19461,783,17,14150.0,832.3529411764706,5000.0,2023-06-21,2012-11-05,0.0,0.0,0.0,0.0
16810,1517,30,14042.0,468.06666666666666,150.0,2021-06-17,2000-06-09,0.0,0.0,0.0,0.0
40582,6339,11,13800.0,1254.5454545454545,500.0,2008-04-04,2000-01-31,0.0,0.0,0.0,0.0
19754,4276,2,13742.22,6871.11,1000.0,2013-11-27,2004-03-23,0.0,0.0,0.0,0.0
63086,1414,20,13550.0,677.5,200.0,2021-09-28,2012-08-27,0.0,0.0,0.0,0.0
27351,4290,20,13350.0,667.5,200.0,2013-11-13,2001-06-21,0.0,0.0,0.0,0.0
70640,798,6,13250.0,2208.3333333333335,1000.0,2023-06-06,2017-09-26,0.0,0.0,0.0,0.0
