Month,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor,avg_donations_per_donor
2020-05,1154405.0,104,105,10994.333333333334,11100.048076923076,1.0096153846153846
2020-04,351030.0,15,18,19501.666666666668,23402.0,1.2
2020-03,3835.0,19,20,191.75,201.8421052631579,1.0526315789473684
2020-02,17973.0,87,87,206.58620689655172,206.58620689655172,1.0
2020-01,22070.0,15,15,1471.3333333333333,1471.3333333333333,1.0
2019-12,10816.0,6,10,1081.6,1802.6666666666667,1.6666666666666667
2019-11,61940.0,7,8,7742.5,8848.57142857143,1.1428571428571428
2019-10,111933.17,13,15,7462.211333333334,8610.243846153846,1.1538461538461537
2019-09,5200.0,28,28,185.71428571428572,185.71428571428572,1.0
2019-08,25800.0,68,69,373.9130434782609,379.4117647058824,1.0147058823529411
2019-07,23180.0,47,48,482.9166666666667,493.1914893617021,1.0212765957446808
2019-06,265970.08,144,147,1809.3202721088437,1847.0144444444445,1.0208333333333333
2019-05,596405.2,238,243,2454.3423868312757,2505.904201680672,1.0210084033613445
2019-04,4458.0,24,26,171.46153846153845,185.75,1.0833333333333333
2019-03,53261.0,65,67,794.9402985074627,819.4,1.0307692307692307
2019-02,657093.55,131,132,4977.98143939394,5015.981297709924,1.0076335877862594
2019-01,4350.0,17,18,241.66666666666666,255.88235294117646,1.0588235294117647
2018-12,194131.41,17,17,11419.494705882353,11419.494705882353,1.0
2018-11,115845.0,9,14,8274.642857142857,12871.666666666666,1.5555555555555556
2018-10,31565.68,15,16,1972.855,2104.3786666666665,1.0666666666666667
2018-09,45463.729999999996,37,39,1165.7366666666665,1228.7494594594593,1.054054054054054
2018-08,172775.0,128,133,1299.0601503759399,1349.8046875,1.0390625
2018-07,14261.0,53,57,250.19298245614036,269.07547169811323,1.0754716981132075
2018-06,304605.7,236,242,1258.7012396694215,1290.702118644068,1.0254237288135593
2018-05,48945.0,137,142,344.6830985915493,357.26277372262774,1.0364963503649636
2018-04,13365.0,5,6,2227.5,2673.0,1.2
2018-03,33785.0,38,39,866.2820512820513,889.078947368421,1.0263157894736843
2018-02,33450.0,164,169,197.92899408284023,203.96341463414635,1.0304878048780488
2018-01,656279.0,22,24,27344.958333333332,29830.863636363636,1.0909090909090908
2017-12,75500.0,3,3,25166.666666666668,25166.666666666668,1.0
2017-11,1296.4,4,8,162.05,324.1,2.0
2017-10,34573.590000000004,22,26,1329.7534615384616,1571.5268181818183,1.1818181818181819
2017-09,24105.0,58,59,408.5593220338983,415.6034482758621,1.0172413793103448
2017-08,71900.0,82,82,876.829268292683,876.829268292683,1.0
2017-07,14680.0,68,68,215.88235294117646,215.88235294117646,1.0
