ID,Recency,Frequency,Monetary,RFM_Segment
63385,1444,23,4600.0,Champion
15448,5765,13,4525.0,Regular
15286,1874,5,4500.0,Champion
24058,1474,11,4500.0,Champion
68574,776,10,4500.0,Champion
14740,1869,11,4500.0,Champion
17606,2538,17,4450.0,Regular
20705,1154,13,4425.0,Champion
20448,1289,12,4350.0,Champion
18103,8811,4,4350.0,Regular
68579,798,16,4300.0,Champion
55141,1874,21,4200.0,Champion
49496,2535,22,4200.0,Regular
15037,2909,20,4200.0,Regular
57789,1537,21,4200.0,Champion
59695,1267,11,4200.0,Champion
15669,3247,19,4190.0,Regular
19797,1786,14,4150.0,Champion
16956,1397,12,4150.0,Champion
44006,2560,23,4150.0,Regular
54512,2060,5,4125.0,Champion
15310,2960,24,4100.0,Regular
35689,6983,7,4100.0,Regular
14633,5713,7,4100.0,Regular
40426,8093,5,4100.0,Regular
22489,784,3,4082.8199999999997,Loyal
41620,1873,14,4050.0,Champion
12986,7714,9,4020.0,Regular
17758,6950,7,4000.0,Regular
15325,2235,2,4000.0,High Potential
15435,6257,4,4000.0,Regular
41863,5349,7,4000.0,Regular
18457,1516,23,3980.0,Champion
21970,746,3,3950.0,Loyal
13417,8188,5,3875.0,Regular
17874,2283,13,3825.0,Champion
14423,6983,9,3800.0,Regular
15007,1504,5,3800.0,Champion
19858,2177,11,3800.0,Champion
20160,1065,19,3800.0,Champion
23089,2203,19,3800.0,Champion
15539,1517,3,3750.0,Loyal
15870,3660,18,3750.0,Regular
17594,1413,20,3750.0,Champion
44133,2255,12,3700.0,Champion
15648,2279,20,3700.0,Champion
28162,1517,5,3650.0,Champion
17506,5570,7,3650.0,Regular
21573,5034,13,3625.0,Regular
17621,1141,27,3610.0,Champion
16891,2199,18,3600.0,Champion
66166,923,14,3600.0,Champion
15559,1163,5,3600.0,Champion
21060,2206,18,3600.0,Champion
61467,1534,18,3600.0,Champion
15528,7356,14,3550.0,Regular
19766,1517,13,3550.0,Champion
17266,6257,7,3500.0,Regular
72529,796,3,3500.0,Loyal
22754,2275,3,3500.0,Loyal
44224,1517,18,3500.0,Champion
16805,5545,10,3450.0,Regular
16978,2601,8,3450.0,Regular
43469,4290,12,3450.0,Regular
15635,5390,4,3450.0,Regular
12728,1105,5,3430.0,Champion
26525,2538,17,3400.0,Regular
13793,1517,7,3400.0,Champion
65354,1421,17,3400.0,Champion
13767,8478,4,3400.0,Regular
63944,2540,17,3400.0,Regular
19231,4065,6,3400.0,Regular
17054,5522,13,3400.0,Regular
43608,2296,17,3400.0,Champion
50761,4795,6,3400.0,Regular
55918,3178,7,3400.0,Regular
15667,7368,6,3350.0,Regular
47919,2610,14,3340.0,Regular
